Hotel Name,Check-in,Check-out,Price
Taipei Marriott,2025-08-06,2025-08-07,10028
Taipei Marriott,2025-08-06,2025-08-07,10300
Taipei Marriott,2025-08-06,2025-08-07,10500
Taipei Marriott,2025-08-06,2025-08-07,10528
Taipei Marriott,2025-08-06,2025-08-07,10756
Taipei Marriott,2025-08-06,2025-08-07,11000
Taipei Marriott,2025-08-06,2025-08-07,11228
Taipei Marriott,2025-08-06,2025-08-07,11256
Taipei Marriott,2025-08-06,2025-08-07,11728
Taipei Marriott,2025-08-06,2025-08-07,11956
Taipei Marriott,2025-08-06,2025-08-07,12456
Taipei Marriott,2025-08-06,2025-08-07,13300
Taipei Marriott,2025-08-06,2025-08-07,16800
Taipei Marriott,2025-08-06,2025-08-07,36800
Taipei Marriott,2025-08-06,2025-08-07,5984
Taipei Marriott,2025-08-06,2025-08-07,6800
Taipei Marriott,2025-08-06,2025-08-07,7600
Taipei Marriott,2025-08-06,2025-08-07,8000
Taipei Marriott,2025-08-06,2025-08-07,8300
Taipei Marriott,2025-08-06,2025-08-07,8800
Taipei Marriott,2025-08-06,2025-08-07,9300
Taipei Marriott,2025-08-06,2025-08-07,9800
Taipei Marriott,2025-08-07,2025-08-08,10028
Taipei Marriott,2025-08-07,2025-08-08,10300
Taipei Marriott,2025-08-07,2025-08-08,10500
Taipei Marriott,2025-08-07,2025-08-08,10528
Taipei Marriott,2025-08-07,2025-08-08,10756
Taipei Marriott,2025-08-07,2025-08-08,11000
Taipei Marriott,2025-08-07,2025-08-08,11228
Taipei Marriott,2025-08-07,2025-08-08,11256
Taipei Marriott,2025-08-07,2025-08-08,11728
Taipei Marriott,2025-08-07,2025-08-08,11956
Taipei Marriott,2025-08-07,2025-08-08,12456
Taipei Marriott,2025-08-07,2025-08-08,13300
Taipei Marriott,2025-08-07,2025-08-08,16800
Taipei Marriott,2025-08-07,2025-08-08,36800
Taipei Marriott,2025-08-07,2025-08-08,5984
Taipei Marriott,2025-08-07,2025-08-08,6800
Taipei Marriott,2025-08-07,2025-08-08,7600
Taipei Marriott,2025-08-07,2025-08-08,8000
Taipei Marriott,2025-08-07,2025-08-08,8300
Taipei Marriott,2025-08-07,2025-08-08,8800
Taipei Marriott,2025-08-07,2025-08-08,9300
Taipei Marriott,2025-08-07,2025-08-08,9800
Taipei Marriott,2025-09-02,2025-09-03,10028
Taipei Marriott,2025-09-02,2025-09-03,10300
Taipei Marriott,2025-09-02,2025-09-03,10500
Taipei Marriott,2025-09-02,2025-09-03,10528
Taipei Marriott,2025-09-02,2025-09-03,10756
Taipei Marriott,2025-09-02,2025-09-03,11000
Taipei Marriott,2025-09-02,2025-09-03,11228
Taipei Marriott,2025-09-02,2025-09-03,11256
Taipei Marriott,2025-09-02,2025-09-03,11728
Taipei Marriott,2025-09-02,2025-09-03,11956
Taipei Marriott,2025-09-02,2025-09-03,12456
Taipei Marriott,2025-09-02,2025-09-03,13300
Taipei Marriott,2025-09-02,2025-09-03,16800
Taipei Marriott,2025-09-02,2025-09-03,36800
Taipei Marriott,2025-09-02,2025-09-03,5984
Taipei Marriott,2025-09-02,2025-09-03,6800
Taipei Marriott,2025-09-02,2025-09-03,7600
Taipei Marriott,2025-09-02,2025-09-03,8000
Taipei Marriott,2025-09-02,2025-09-03,8300
Taipei Marriott,2025-09-02,2025-09-03,8800
Taipei Marriott,2025-09-02,2025-09-03,9300
Taipei Marriott,2025-09-02,2025-09-03,9800
Taipei Marriott,2025-09-03,2025-09-04,10028
Taipei Marriott,2025-09-03,2025-09-04,10300
Taipei Marriott,2025-09-03,2025-09-04,10500
Taipei Marriott,2025-09-03,2025-09-04,10528
Taipei Marriott,2025-09-03,2025-09-04,10756
Taipei Marriott,2025-09-03,2025-09-04,11000
Taipei Marriott,2025-09-03,2025-09-04,11228
Taipei Marriott,2025-09-03,2025-09-04,11256
Taipei Marriott,2025-09-03,2025-09-04,11728
Taipei Marriott,2025-09-03,2025-09-04,11956
Taipei Marriott,2025-09-03,2025-09-04,12456
Taipei Marriott,2025-09-03,2025-09-04,13300
Taipei Marriott,2025-09-03,2025-09-04,16800
Taipei Marriott,2025-09-03,2025-09-04,36800
Taipei Marriott,2025-09-03,2025-09-04,5984
Taipei Marriott,2025-09-03,2025-09-04,6800
Taipei Marriott,2025-09-03,2025-09-04,7600
Taipei Marriott,2025-09-03,2025-09-04,8000
